id1,id2,mu,sigma,alpha1,beta1,pi1,alpha2,beta2,pi2,age1,age2,species1,species2,sex1,sex2,zoo,dist,cv,delta,u
130,112,87.52488931073378,93.4358890827182,12.909670991795522,1.385230389636218,0.1574783594583656,5.296293360339135,1.8781848754463089,5.75405000112139e-06,young,adult,Wasserbock,Wasserbock,male,male,,,1.067535072806536,,
130,127,102.13436970173714,82.44242244507214,15.948095168150791,1.6331903557499368,0.2122396350017037,18.96451124012821,3.355491645308516,0.0011715545351436,young,adult,Wasserbock,Wasserbock,male,male,,,0.8071956843306385,,
68,63,91.37656598884634,40.109709529625945,19.17664546393591,2.9226040923350367,0.0998911279368906,3.5259768590952687,1.8172385963303344,2.699269242958669e-05,young,adult,Blessbock,Blessbock,female,female,8.0,2.0,0.4389496266966504,-430.0,0.028085565814110886
130,118,98.98709104489956,88.0568096465576,12.937715055061163,1.369546384633314,0.1603974303953003,4.959389846883255,1.6072768866561202,0.0075921081477633,young,adult,Wasserbock,Wasserbock,male,male,,,0.8895787189727185,,
67,58,126.13234118662598,45.44857316902253,21.27042168972977,3.103359528258604,0.1334003554835828,4.808563457136004,1.596783747049733,1.086393195281816e-06,young,adult,Blessbock,Blessbock,female,female,,,0.3603245031484559,,
130,116,90.69854043884337,83.78498796937521,15.982637805874072,1.624865810185317,0.2083135949396721,2.325093942088736,1.9031689740375943,7.582541446513571e-08,young,adult,Wasserbock,Wasserbock,male,male,,,0.9237743800945742,,
68,58,117.37631447621412,53.9839618342581,19.38616098929769,2.965334128989736,0.108047189670122,4.797122281561882,1.5944888307547758,1.192096749631963e-09,young,adult,Blessbock,Blessbock,female,female,,,0.459922106731318,,
130,125,90.39278197296714,80.99996578495391,16.000984525649976,1.6288150302351718,0.211746019450693,6.97641570330393,2.6606287019916004,8.983359409924972e-06,young,adult,Wasserbock,Wasserbock,male,male,,,0.8960888692326978,,
66,67,113.31871426532668,61.171608997721286,15.141264744972746,2.548407228475388,0.1966114363341208,18.63221547747651,2.7335707529612088,0.0739851860932037,young,young,Blessbock,Blessbock,female,female,,,0.5398191233840941,,
130,120,92.25849493034984,86.01842017585983,15.994860546292005,1.6235383312325145,0.202946877628111,10.942453497735428,2.5521510923410187,2.3488418661188948e-05,young,adult,Wasserbock,Wasserbock,male,male,,,0.9323631416358904,,
130,123,149.66192060238,71.48726863166047,19.150564067093004,2.132581293659737,0.390945457015124,7.529946160797055,3.248392781599119,0.0461776501148469,young,adult,Wasserbock,Wasserbock,male,male,17.0,1.0,0.4776583672314816,-1.0,0.5170660827604593
100,96,142.85207655538755,70.07015930502001,20.89604272362913,2.899120183849639,0.2818795977180862,10.44634216284858,1.2361982568578074,0.0001384269256219,young,adult,Säbelantilope,Säbelantilope,male,male,,,0.4905085105840372,,
66,59,132.80982442480845,56.65259740243769,15.904076607672344,2.754347624151141,0.2441002150542797,8.507883017064376,2.650700582652564,2.446995775231606e-09,young,adult,Blessbock,Blessbock,female,female,10.0,2.0,0.4265693268385585,1200.0,0.05176380419870674
67,56,99.21071650102148,29.55470205255667,22.935935650922627,3.310018983331392,0.1624674353737327,16.36453753457491,4.99449399375937,0.0563565497945381,young,adult,Blessbock,Blessbock,female,female,8.0,1.0,0.2978982825131837,171.0,0.27984169066166187
67,62,117.83859023907064,40.245957322094426,21.281935083941217,3.1013276717951976,0.1326970524094216,19.049932060833022,6.148817999143354,0.0979418762508674,young,adult,Blessbock,Blessbock,female,female,8.0,2.0,0.3415346130706717,34.0,0.07207155696799605
130,121,121.071313931345,84.17624342784512,11.933723700795918,1.3653717540692654,0.1883657372397954,6.552105506454233,2.336955226536716,0.0002814984944836,young,adult,Wasserbock,Wasserbock,male,male,,,0.6952616659928075,,
95,92,109.48698074364384,58.863135285282695,16.829092087355566,2.5043427769918707,0.3517326298912596,34.70875520482237,3.369399014893569,0.0653396605005293,young,adult,Rappenantilope,Rappenantilope,male,male,8.0,2.0,0.5376268017026302,562.0,0.04793641017051257
66,55,149.81760116865928,66.22916111975326,15.875535565966311,2.781847247655293,0.2483428645632606,12.748108743032809,2.70139279596426,1.1924878143203555e-09,young,adult,Blessbock,Blessbock,female,female,10.0,2.0,0.4420652887453113,-358.0,0.04853146668557832
66,64,136.3388732614373,63.1347201441964,15.637037820059684,2.696390710749348,0.2292473748067545,13.470666861528866,2.8158489652853653,0.0675200665132096,young,adult,Blessbock,Blessbock,female,female,,,0.4630720397925843,,
65,58,142.02767085878588,50.32612674710533,15.073544041434824,7.873198654998202,0.8846956294524919,4.797714023828801,1.594611816729274,1.199124858585147e-09,young,adult,Blessbock,Blessbock,female,female,10.0,1.0,0.3543402946961172,1200.0,0.01130216783441195
42,34,117.71038551150455,43.550788796979525,15.28174741720376,4.094222656139273,0.2530099506180993,4.506033935617755,2.4984559727289506,1.8034058845462038e-09,young,adult,Elenantilope,Elenantilope,female,female,,,0.3699825517326425,,
130,129,105.75645912869793,90.97328201937871,15.620415382660076,1.6016532327831012,0.1983185953654735,12.322385549730592,2.889604650838409,0.0649988250945144,young,adult,Wasserbock,Wasserbock,male,male,,,0.8602149009988207,,
42,21,113.72066458643144,36.541777708606695,15.510561002133896,4.196463198165573,0.2727587786878989,8.727940553844165,2.844961134150786,4.490182595809355e-09,young,adult,Elenantilope,Elenantilope,female,female,,,0.3213292662463623,,
130,115,138.84425960387517,69.45994513291437,17.511736538713684,2.0247159834245587,0.3869012016385329,9.080603762599145,4.197716552971298,0.0791257543103274,young,adult,Wasserbock,Wasserbock,male,male,17.0,1.0,0.5002723579000289,1077.0,0.32596714071500177
65,64,148.4554849541425,55.20902259790006,16.227245097329742,8.4308843277278,0.9116598535878928,15.620452731551646,3.239073796783513,0.1123409405775967,young,adult,Blessbock,Blessbock,female,female,,,0.3718894092390994,,
67,59,125.13706632115934,44.0898743108009,21.380469487065188,3.117993502983486,0.1354764264091736,8.963627325683447,2.7930548056204403,0.0191871151109654,young,adult,Blessbock,Blessbock,female,female,,,0.3523326509640715,,
42,41,104.98369812079456,48.06589946658049,13.68092043502246,3.586751889708461,0.1953597411807486,13.010665904334756,2.770444283869,0.1484945935251833,young,young,Elenantilope,Elenantilope,female,female,16.0,1.0,0.4578415537550956,-110.0,0.3431385106670436
66,68,94.09864025244693,70.90983251571345,13.70441649854866,2.2845018061856406,0.1423126594794953,14.698208425872254,2.303904554028902,6.408604347951631e-07,young,young,Blessbock,Blessbock,female,female,,,0.7535691517483911,,
67,57,142.08602785167523,66.86515687420267,20.39724180799176,2.9797883856938823,0.1140216409705457,30.17766208752586,1.4928282601557177,0.2389814437151842,young,adult,Blessbock,Blessbock,female,female,,,0.4705962851182226,,
42,33,120.06650173536067,47.49626661132693,15.104261246244286,4.037172943778592,0.2454172767403566,7.296542613815157,6.09351484444536,7.485024799101791e-09,young,adult,Elenantilope,Elenantilope,female,female,,,0.3955829971294887,,
66,63,102.28564106149774,62.70958514290621,14.758092813509428,2.460734772187313,0.1777964588806771,3.525673646599869,1.817092297605372,1.0522576971482781e-07,young,adult,Blessbock,Blessbock,female,female,,,0.613082975206686,,
42,19,112.39618394308194,36.47932667345968,15.492112803894765,4.178019276782612,0.2695256750534703,9.463923085527416,3.8943142759188856,2.2674002828716888e-08,young,adult,Elenantilope,Elenantilope,female,female,,,0.3245601887332137,,
42,28,122.25683731353428,45.71311172993856,15.411714132510689,4.148684168990707,0.2591454247117363,3.517362285338262,2.0850644625560784,1.238887690458139e-09,young,adult,Elenantilope,Elenantilope,female,female,,,0.3739104718757349,,
42,39,111.975741658489,28.56338260139535,14.871297903636906,4.1869317217863244,0.3148452162644748,13.675914962971673,3.1564120260512665,4.7963357539574065e-09,young,young,Elenantilope,Elenantilope,female,female,,,0.2550854513516851,,
68,60,88.18356952661244,34.250123416615985,21.113226823626853,3.197706938583847,0.1389780531856458,9.938133936338852,3.739299298571452,1.1921144097707991e-09,young,adult,Blessbock,Blessbock,female,female,8.0,1.0,0.3883957476486572,72.0,0.16838428913957224
67,63,106.6474190855739,35.09224527876602,21.517720933975458,3.125069757484374,0.1350777871903053,4.433339045926338,2.342120585024156,0.1301727634750788,young,adult,Blessbock,Blessbock,female,female,8.0,3.0,0.3290491751198217,11.0,0.1772674971750191
42,25,115.66712444942154,39.3573302296489,15.4702804566727,4.167091691440417,0.2648169935518592,11.784212408136638,5.739733248457651,1.1920970742178283e-09,young,adult,Elenantilope,Elenantilope,female,female,,,0.3402637561622699,,
130,122,66.77249691141131,103.88042718403456,14.468121351621006,1.4894146202721257,0.161125629823222,10.210870640095258,2.292522726310899,0.1730155487994439,young,adult,Wasserbock,Wasserbock,male,male,,,1.5557367477489308,,
67,55,139.3703519300721,60.25089324796341,20.78487093544814,3.034614963052868,0.1228547061232428,12.747320004587332,2.701256094318259,1.803826737433746e-09,young,adult,Blessbock,Blessbock,female,female,,,0.4323078216677948,,
42,40,103.49341491413328,35.43691053858616,15.381657417535926,4.084484684554172,0.255092993823062,31.365163518048654,5.759799198679108,0.1344295007741126,young,young,Elenantilope,Elenantilope,female,female,,,0.3424073944027024,,
42,37,117.14470424423897,45.82287033454865,15.044527558535064,4.010274444106928,0.2422382302817559,19.478204650815027,6.0960391023813765,0.0524469303296248,young,subadult,Elenantilope,Elenantilope,female,female,16.0,1.0,0.3911646764587069,-10.0,0.2819009265199564
